_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2018,1,MUMBAI,ABUDHABI,90302,79632,3172.86,2403.62
2,2018,2,MUMBAI,ABUDHABI,90846,89971,3771.62,2485.51
3,2018,3,MUMBAI,ABUDHABI,83245,72505,3108.14,2071.45
4,2018,4,MUMBAI,ABUDHABI,78902,88094,2408.89,1732.86
5,2018,1,MUMBAI,ADDIS ABABA,38004,30927,3229.49,556.14
6,2018,2,MUMBAI,ADDIS ABABA,43283,36311,4819.98,646.22
7,2018,3,MUMBAI,ADDIS ABABA,40171,37688,3950.85,702.27
8,2018,4,MUMBAI,ADDIS ABABA,40576,42379,4019.03,627.91
9,2018,1,MUMBAI,ADEN,2061,2021,8.74,0.12
10,2018,2,MUMBAI,ADEN,2044,1898,6.02,0.00
11,2018,3,MUMBAI,ADEN,2094,1936,8.15,0.00
12,2018,4,MUMBAI,ADEN,1903,2288,11.66,0.00
13,2018,1,MUMBAI,AMSTERDAM,39402,34193,3706.32,2429.88
14,2018,2,MUMBAI,AMSTERDAM,39496,33561,2535.58,2539.78
15,2018,3,MUMBAI,AMSTERDAM,40574,37515,2567.88,2485.18
16,2018,4,MUMBAI,AMSTERDAM,39237,42622,2799.22,2364.38
17,2018,1,MUMBAI,BAHRAIN,33472,29161,802.06,115.18
18,2018,2,MUMBAI,BAHRAIN,32058,35199,800.68,147.88
19,2018,3,MUMBAI,BAHRAIN,37334,34074,808.94,110.70
20,2018,4,MUMBAI,BAHRAIN,32471,35748,832.85,24.49
21,2018,1,MUMBAI,BANGKOK,102001,98468,2428.46,3418.58
22,2018,2,MUMBAI,BANGKOK,107316,110133,2854.52,3653.63
23,2018,3,MUMBAI,BANGKOK,98390,98694,2518.93,4162.34
24,2018,4,MUMBAI,BANGKOK,97507,105118,2115.81,3626.55
25,2018,1,MUMBAI,BRUSELLS,17237,12373,898.65,825.42
26,2018,2,MUMBAI,BRUSELLS,13828,10682,840.36,612.92
27,2018,3,MUMBAI,BRUSELLS,14021,12370,710.78,505.51
28,2018,4,MUMBAI,BRUSELLS,10017,16216,719.85,463.27
29,2018,1,MUMBAI,CAIRO,6617,5264,339.81,179.33
30,2018,2,MUMBAI,CAIRO,8587,6420,0.00,0.00
31,2018,3,MUMBAI,CAIRO,6366,5303,90.19,16.61
32,2018,4,MUMBAI,CAIRO,10210,9689,470.94,195.26
33,2018,1,MUMBAI,COLOGNE,0,0,1223.82,0.00
34,2018,2,MUMBAI,COLOGNE,0,0,1260.32,0.00
35,2018,3,MUMBAI,COLOGNE,0,0,1320.44,0.00
36,2018,4,MUMBAI,COLOGNE,0,0,1282.91,0.00
37,2018,1,MUMBAI,COLOMBO,49736,49708,715.32,591.90
38,2018,2,MUMBAI,COLOMBO,40754,41319,620.65,577.22
39,2018,3,MUMBAI,COLOMBO,45360,44800,611.29,430.82
40,2018,4,MUMBAI,COLOMBO,43370,40039,709.71,502.29
41,2018,1,MUMBAI,DAMMAM,16494,18078,1258.98,720.94
42,2018,2,MUMBAI,DAMMAM,14508,19682,1247.76,676.62
43,2018,3,MUMBAI,DAMMAM,18917,18174,1174.23,491.94
44,2018,4,MUMBAI,DAMMAM,13771,14214,219.37,31.80
45,2018,1,MUMBAI,DENPASAR,9424,9675,17.77,0.00
46,2018,2,MUMBAI,DENPASAR,4626,4480,259.71,115.57
47,2018,3,MUMBAI,DENPASAR,6555,6880,403.03,287.16
48,2018,4,MUMBAI,DENPASAR,5220,6525,524.72,378.01
49,2018,1,MUMBAI,DHAKA,13977,12887,73.70,116.50
50,2018,2,MUMBAI,DHAKA,10771,11250,140.51,110.27
51,2018,3,MUMBAI,DHAKA,13324,13197,83.72,126.80
